DDDAAAAA AADADDDD DADDADDD DDADADDD
DDDADADD ADDADDAD DDADADAA DADDDDDD
AAAAAADA ADDDDDAA DAADDDDA DAADDDDA
AAADDDDD ADDAADAA AAAAADDA ADDAAAAA
AAAAAAAA AADAAAAA DAAAADAA ADAADAAA
AAAAAAAD DADAAAAA DAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAADDAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAADAD
AAAAAADA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAADAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
DDDDDDDD DDDAAAAA AAAAADDD DDDDDDDD
DDDDDDDD DDDAAAAA AAAAADDD DDDDDDDD
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
